engine_size,horsepower,weight,age,fuel_efficiency,price
2.810890416,155.5398787,1785.117051,18,10.81647652,39456.75521
4.827500072,262.5702842,1740.936397,4,21.8899048,78764.75718
4.061978796,361.8837508,3718.763742,7,20.19370263,88185.42893
3.595304695,319.6674659,1748.6386,6,14.0304703,73802.34865
2.046065242,341.9683444,1815.849178,13,26.41024009,69380.27079
2.045980821,297.63501,3278.194787,2,34.27877268,63131.71147
1.703292643,307.6829694,2349.219527,17,24.05472028,64830.18099
4.53161651,354.7586955,3330.131671,15,27.86883191,83847.35617
3.603902541,174.9004027,1196.098473,18,11.71126131,54629.78257
3.978254022,246.8274891,2462.713581,18,20.4416749,56672.44376
1.57204573,166.3628325,1100.840801,17,12.90896213,31758.66929
4.894684483,396.3004024,1187.95961,19,25.31989589,91654.53197
4.413549243,383.2178019,3719.31236,15,33.46205396,92708.74722
2.243186887,111.8280434,1417.736113,7,26.54444331,40278.03462
2.136387385,311.6725518,2597.262047,0,11.92007621,58362.0861
2.141915784,377.5744952,2233.286808,16,18.86665512,65509.65795
2.56484785,154.1726035,2042.029979,11,23.76658449,35932.00804
3.336647511,270.3835692,3699.500037,10,20.0801939,72270.92772
3.011807565,374.6464893,1065.47019,4,30.84110026,83948.96515
2.519301991,110.1837936,2991.369059,11,30.36677512,32112.45576
3.641485132,309.2260802,3890.183303,16,25.2957755,70696.02534
1.988228512,189.2047022,2680.50455,5,19.33644863,51110.50253
2.52250627,377.3188586,3810.467386,0,16.38340934,76903.55188
2.782266452,391.3174735,1156.773638,4,12.64685796,78048.27182
3.096244945,383.2799467,2256.379957,13,18.87244209,75584.9875
4.248115865,242.264265,1780.473373,4,20.32931293,64173.4465
2.198858238,358.6127953,3192.462895,0,26.89557313,81118.15321
3.299820534,353.3648196,3943.891271,17,26.45399561,85452.55199
3.573450991,195.730142,1769.590187,15,11.75270349,47652.16495
1.662576445,348.6746422,2962.523804,8,19.88148289,73132.74443
3.626406982,111.1022904,1594.292898,18,14.54447168,37440.99827
2.096834433,278.8809635,2695.990764,4,13.92031763,61301.48722
1.727680575,169.0026512,2391.79746,1,30.68255374,50810.10097
4.82109938,136.1700657,3916.015989,14,11.04788042,52240.60183
4.879712116,123.0859605,2825.581818,6,20.4795719,53842.20003
4.329390718,308.8866328,2048.519116,3,14.20509139,82994.85686
2.566148192,201.9624891,1342.287355,0,31.98325539,49372.75508
1.841852399,317.4300315,1453.740486,12,23.92601283,67718.72906
3.894815593,119.6069022,1675.95079,19,15.78451591,43710.88479
3.040533728,194.5871013,1752.899984,6,22.56068218,50645.76519
1.927133822,261.8473877,3551.848174,14,28.28715899,51914.00833
3.233119185,337.2169495,2683.668365,13,33.95295022,69724.38787
1.620359824,195.6257509,2570.172734,18,15.51115011,36221.78513
4.682621407,287.7674129,1344.306616,19,32.1545443,75623.04316
2.405729936,365.7933245,3580.41908,17,33.35760285,68690.24495
3.818827995,284.7589565,3168.44291,9,32.91051361,73734.10586
2.590988766,169.8878424,1203.005086,8,25.88535892,49002.35595
3.320238074,107.3202345,3123.505292,7,25.74551636,41946.14534
3.413485978,361.0296622,2630.614652,9,20.08026583,83204.6564
2.146990594,106.3808233,1245.176037,16,28.80994706,28161.38235
4.893546197,362.4105018,2374.901925,1,23.28235046,98464.76295
