Uid,Time,Symbol,C/P,Trade,Side,Str,Spot,Exp,Size,Prems,Price,Bid,Ask,Vol,OI,Ivol,Label,Events,Details
14479225,2023-02-06 10:51:33,UBER,CALL,,TO ASK,35,33.09,2023-09-15,100,46.10K,4.61,4.55,4.65,528,3146,48.28,,,
14479223,2023-02-06 10:51:33,UBER,CALL,,TO BID,37.5,33.09,2024-01-19,100,49.10K,4.91,4.85,5,344,7081,45.92,,,
14479230,2023-02-06 10:51:31,AAPL,CALL,SWEEP,AT ASK,150,152.24,2023-02-17,85,39.52K,4.65,4.6,4.65,2454,50589,32.19,,,
14479214,2023-02-06 10:51:31,GM,CALL,,TO BID,40,41.24,2023-04-21,99,32.47K,3.28,3.25,3.35,432,2827,33.23,,,
14479224,2023-02-06 10:51:30,QQQ,PUT,SWEEP,BLW BID,305,304.42,2023-02-06,268,41.17K,1.54,1.6,1.62,19016,11550,41.74,,,
14479222,2023-02-06 10:51:30,TSLA,CALL,SWEEP,ABV ASK,200,193.54,2023-02-10,58,31.16K,5.37,5.3,5.35,70591,28709,95.95,,,
14479221,2023-02-06 10:51:30,TSLA,CALL,SWEEP,,192.5,193.51,2023-02-10,55,45.69K,8.31,8.25,8.35,13694,4284,92.98,,,
14479220,2023-02-06 10:51:30,PINS,CALL,SPLIT,AT ASK,25,27.4,2023-06-16,90,48.15K,5.35,5.3,5.35,261,6573,61.16,,Pre-Earnings,
14479217,2023-02-06 10:51:30,AAPL,PUT,SWEEP,AT ASK,135,152.17,2023-06-16,416,162.24K,3.9,3.85,3.9,613,39003,31.97,,,
14479213,2023-02-06 10:51:30,QQQ,CALL,,TO ASK,307,304.38,2023-03-24,122,121.63K,9.97,9.92,9.98,193,245,24.44,,,
14479210,2023-02-06 10:51:30,AAPL,PUT,,AT ASK,135,152.17,2023-06-16,250,97.50K,3.9,3.85,3.9,483,39003,31.97,,,
14479215,2023-02-06 10:51:29,AAPL,PUT,SWEEP,AT ASK,135,152.15,2023-06-16,84,32.76K,3.9,3.85,3.9,201,39003,31.96,,,
14479238,2023-02-06 10:51:28,SPX,PUT,,ABV ASK,4100,4148.36,2023-05-19,300,4.08M,136,132.1,133.3,503,5411,18.51,SPREAD,,
14479237,2023-02-06 10:51:28,SPX,PUT,,ABV ASK,4100,4148.36,2023-05-19,100,1.36M,136,132.3,133.3,203,5411,18.51,SPREAD,,
14479235,2023-02-06 10:51:28,SPX,PUT,,ABV ASK,4100,4148.36,2023-05-19,100,1.36M,136,132.4,133.2,103,5411,18.51,SPREAD,,
14479234,2023-02-06 10:51:28,SPX,PUT,,ABV ASK,4100,4176.45,2023-07-21,500,8.44M,168.8,165.4,166.4,504,2345,18.81,SPREAD,,
14479211,2023-02-06 10:51:28,TSLA,CALL,SWEEP,TO ASK,200,193.45,2023-04-21,200,442.00K,22.1,22,22.15,2906,8845,69.27,,,
14479203,2023-02-06 10:51:28,TSLA,CALL,,AT ASK,200,193.43,2023-04-21,155,342.55K,22.1,22,22.1,2906,8845,69.31,,,
14479233,2023-02-06 10:51:27,SPX,CALL,,BLW BID,4125,4112.37,2023-02-07,400,604.00K,15.1,17.5,17.9,1670,3430,21.95,,,
14479232,2023-02-06 10:51:27,SPX,CALL,,BLW BID,4125,4112.37,2023-02-07,150,226.50K,15.1,17.5,17.9,1234,3430,21.95,,,
14479231,2023-02-06 10:51:27,SPX,CALL,,BLW BID,4125,4113.21,2023-02-13,188,569.26K,30.28,32.7,33.5,1254,1933,15.53,,,
14479229,2023-02-06 10:51:27,SPX,CALL,,BLW BID,4125,4113.21,2023-02-13,500,1.51M,30.28,32.7,33.5,843,1933,15.53,,,
14479228,2023-02-06 10:51:27,SPX,CALL,,BLW BID,4125,4112.37,2023-02-07,150,226.50K,15.1,17.5,17.9,905,3430,21.95,,,
14479226,2023-02-06 10:51:27,SPX,CALL,,BLW BID,4125,4113.21,2023-02-13,188,569.26K,30.28,32.7,33.5,343,1933,15.53,,,
14479206,2023-02-06 10:51:27,TSLA,CALL,SWEEP,TO BID,200,193.65,2023-02-10,85,45.28K,5.33,5.3,5.4,70526,28709,96.05,,,
14479205,2023-02-06 10:51:26,PINS,CALL,SWEEP,AT ASK,30,27.38,2023-09-15,942,390.93K,4.15,4,4.15,962,709,57.02,OPENING,Pre-Earnings,
14479186,2023-02-06 10:51:25,AMZN,CALL,,,105,101.64,2023-03-17,100,37.20K,3.72,3.7,3.75,8891,49008,37.09,,,
14479183,2023-02-06 10:51:25,GOOG,CALL,,TO BID,82.5,103.13,2023-09-15,250,648.75K,25.95,25.4,26.7,250,281,36.9,,,
14479182,2023-02-06 10:51:25,GOOG,CALL,,AT ASK,117.5,103.13,2023-09-15,250,133.75K,5.35,5.2,5.35,454,2442,29.02,,,
14479207,2023-02-06 10:51:24,QQQ,PUT,SPLIT,AT ASK,295,304.37,2023-03-03,119,48.91K,4.11,4.09,4.11,421,2850,26.21,,,
14479198,2023-02-06 10:51:24,TSLA,CALL,SWEEP,TO ASK,195,193.56,2023-02-10,110,79.41K,7.22,7.15,7.25,34276,8851,93.75,,,
14479236,2023-02-06 10:51:23,SPY,CALL,SWEEP,,408,410.08,2023-02-06,164,40.16K,2.45,2.43,2.45,20267,5725,26.84,,,
14479185,2023-02-06 10:51:23,COIN,PUT,SPLIT,AT BID,70,72,2023-03-17,479,507.74K,10.6,10.6,10.7,2747,3299,124.91,,SSR,
14479175,2023-02-06 10:51:23,DDOG,CALL,,AT ASK,90,78.42,2023-02-17,177,26.90K,1.52,1.47,1.52,1502,1722,92.43,,,
14479173,2023-02-06 10:51:23,SYF,PUT,,TO BID,40,36.27,2023-07-21,54,28.62K,5.3,5.2,5.5,126,89,33.95,,,
14479202,2023-02-06 10:51:22,AMD,CALL,SWEEP,AT BID,92,84.68,2023-02-17,465,34.88K,0.75,0.75,0.76,1306,650,50.22,,,
14479169,2023-02-06 10:51:22,SYF,PUT,,AT BID,40,36.26,2023-07-21,72,38.16K,5.3,5.3,5.5,72,89,33.95,,,
14479227,2023-02-06 10:51:21,SPY,CALL,SWEEP,AT ASK,446,410.06,2023-04-21,166,26.06K,1.57,1.55,1.57,172,4437,14.48,,,
14479193,2023-02-06 10:51:21,CHWY,CALL,,AT ASK,52,48.81,2023-02-10,484,27.10K,0.56,0.54,0.56,564,1753,77.99,,,
14479192,2023-02-06 10:51:21,AMD,PUT,SWEEP,BLW BID,82,84.67,2023-02-10,684,57.23K,0.84,0.84,0.86,7468,3172,52.74,,,
